v_gene,d_gene,j_gene,v_5p_del,v_3p_del,d_5p_del,d_3p_del,j_5p_del,j_3p_del,fv_insertion,vd_insertion,dj_insertion,jf_insertion,cdr3_length,count
IGHV4-34*09,IGHD6-13*01,IGHJ6*02,189,0,3,0,0,0,0,6,17,0,84,3
IGHV3-30*03,IGHD4-17*01,IGHJ6*02,42,2,4,7,10,0,0,3,0,0,39,1
IGHV4-59*08,IGHD2-2*03,IGHJ3*01,69,0,15,3,1,0,0,10,8,0,60,1
IGHV4-59*08,IGHD1-20*01,IGHJ6*03,44,1,0,14,16,0,0,17,0,0,46,1
IGHV3-7*03,IGHD5-12*01,IGHJ4*02,237,1,0,0,13,0,0,0,2,0,39,1
IGHV4-59*08,IGHD1-26*01,IGHJ4*02,262,0,5,2,2,0,0,10,0,0,49,1
IGHV4-59*08,IGHD3-22*01,IGHJ5*02,32,0,1,0,6,0,0,10,4,0,69,1
IGHV4-31*03,IGHD3-3*01,IGHJ6*02,137,1,7,9,8,0,0,8,0,0,57,1
IGHV4-59*08,IGHD1-14*01,IGHJ4*02,35,0,2,2,5,0,0,8,4,0,48,2
IGHV3-23*04,IGHD6-19*01,IGHJ4*02,164,0,3,1,6,0,0,9,0,0,48,2
IGHV4-30-2*05,IGHD2-2*01,IGHJ5*02,60,0,1,2,6,0,0,7,0,0,60,2
IGHV4-34*01,IGHD4-17*01,IGHJ4*02,19,0,0,0,3,0,0,6,7,0,54,1
IGHV4-31*03,IGHD2-8*01,IGHJ4*02,63,1,1,13,17,0,0,7,0,0,34,1
IGHV3-66*03,IGHD2-2*01,IGHJ4*02,254,2,1,8,3,0,0,2,0,0,47,1
IGHV3-23*04,IGHD2-8*02,IGHJ4*02,73,0,5,0,1,0,0,2,2,0,57,1
IGHV1-69*04+G278T,IGHD5-12*01,IGHJ4*02,35,0,0,1,1,0,0,1,1,0,51,1
IGHV3-66*03,IGHD6-13*01,IGHJ6*02,194,0,0,1,0,0,0,3,3,0,69,1
IGHV4-34*01,IGHD3/OR15-3a*01,IGHJ5*02,92,1,7,9,9,0,0,3,0,0,39,1
IGHV3-30*03,IGHD6-13*01,IGHJ6*02,230,2,2,1,1,0,0,15,0,0,73,1
IGHV1-69*04+G278T,IGHD3-10*01,IGHJ4*02,45,0,0,21,16,0,0,30,0,0,52,1
IGHV4-59*08,IGHD3-16*01,IGHJ4*01,123,3,0,6,5,0,0,0,0,0,51,1
IGHV1-69*04+G278T,IGHD2-8*02,IGHJ4*02,223,4,3,6,0,0,0,10,13,0,69,1
IGHV4-59*08,IGHD4-23*01,IGHJ4*02,32,0,0,0,4,0,0,2,3,0,48,1
IGHV1-2*02,IGHD2-2*02,IGHJ6*02,118,1,1,12,13,0,0,1,0,0,48,1
IGHV3-23*04,IGHD3-16*02,IGHJ3*02,69,3,0,26,8,0,0,6,0,0,36,1
IGHV3-30*03,IGHD3-3*01,IGHJ6*03,103,1,0,0,14,0,0,4,0,0,63,2
IGHV1-18*04,IGHD2-2*03,IGHJ4*02,202,0,0,2,3,0,0,5,7,0,66,1
IGHV1-18*04,IGHD2-15*01,IGHJ4*02,176,0,5,0,6,0,0,0,0,0,48,1
IGHV4-34*01,IGHD3-10*01,IGHJ5*02,39,2,0,4,1,0,0,8,0,0,63,1
IGHV1-2*02,IGHD6-13*01,IGHJ4*02,66,1,2,6,6,0,0,4,4,0,42,1
IGHV4-34*01,IGHD6-6*01,IGHJ6*02,39,1,0,1,7,0,0,2,9,0,63,1
IGHV4-59*08,IGHD6-19*01,IGHJ5*02,115,0,0,0,2,0,0,16,0,0,66,2
IGHV4-59*08,IGHD3-9*01,IGHJ4*02,87,0,13,1,5,0,0,5,0,0,45,1
IGHV4-39*01,IGHD2-8*01,IGHJ4*02,132,2,7,0,8,0,0,0,0,0,42,1
IGHV3-NL1*01,IGHD5-18*01,IGHJ4*02,209,0,2,0,8,0,0,9,7,0,54,2
IGHV4-59*08,IGHD3-10*01,IGHJ4*02,229,0,4,0,8,0,0,0,4,0,51,1
IGHV4-61*01,IGHD3-22*01,IGHJ4*02,258,1,0,0,5,0,0,1,4,0,58,1
IGHV4-39*01,IGHD3-10*01,IGHJ6*03,70,0,4,4,12,0,0,8,0,0,62,1
IGHV4-39*01,IGHD3-10*01,IGHJ4*02,190,0,4,5,0,0,0,9,4,0,63,3
IGHV4-61*02,IGHD3-9*01,IGHJ3*01,246,0,0,10,6,0,0,15,0,0,60,1
IGHV3-49*04,IGHD1-7*01,IGHJ2*01,235,1,0,0,13,0,0,24,0,0,60,1
IGHV4-59*08,IGHD3-16*02,IGHJ6*03,27,2,16,3,8,0,0,0,0,0,51,1
IGHV1-69*04+G278T,IGHD5-12*01,IGHJ4*02,227,0,0,1,3,0,0,1,3,0,51,1
IGHV4-31*03,IGHD6-19*01,IGHJ6*02,36,1,0,0,14,0,0,9,0,0,58,1
IGHV1-2*02,IGHD3-22*01,IGHJ3*02,90,0,10,7,9,0,0,1,0,0,36,1
IGHV3-30*03,IGHD2-15*01,IGHJ5*02,132,1,1,11,9,0,0,2,0,0,42,1
IGHV4-59*08,IGHD3-22*01,IGHJ4*02,72,2,0,1,5,0,0,2,4,0,57,1
IGHV4-30-2*05,IGHD1-26*01,IGHJ4*02,161,1,0,2,0,0,0,12,3,0,60,1
IGHV3-7*03,IGHD6-13*01,IGHJ6*02,194,0,3,0,0,0,0,4,1,0,66,1
IGHV5-51*01,IGHD2-21*02,IGHJ4*02,175,1,0,11,3,0,0,1,0,0,42,1
IGHV3-49*04,IGHD3-3*01,IGHJ3*02,149,3,1,0,8,0,0,14,0,0,63,1
IGHV3-30*03,IGHD3/OR15-3a*01,IGHJ3*02,210,3,0,0,0,0,0,5,4,0,67,1
IGHV3-49*04,IGHD1-7*01,IGHJ2*01,84,1,0,6,7,0,0,24,0,0,60,1
IGHV3-21*01,IGHD3-3*01,IGHJ2*01,207,1,4,7,1,0,0,4,2,0,57,1
IGHV4-59*08,IGHD5-12*01,IGHJ4*02,258,0,0,9,0,0,0,8,5,0,55,1
IGHV1-2*02,IGHD1-26*01,IGHJ3*02,123,4,2,0,3,0,0,8,2,0,51,1
IGHV4-59*08,IGHD5-24*01,IGHJ6*02,7,3,1,4,1,0,0,10,0,0,64,1
IGHV4-61*02,IGHD6-13*01,IGHJ3*02,81,1,3,4,3,0,0,4,16,0,60,2
IGHV3-7*03,IGHD3-10*01,IGHJ4*02,247,0,4,8,3,0,0,7,0,0,51,1
IGHV3-7*03,IGHD5-12*01,IGHJ4*02,1,1,0,0,13,0,0,0,2,0,39,1
IGHV3-66*01,IGHD3-16*02,IGHJ3*02,251,0,3,3,3,0,0,14,4,0,76,1
IGHV1-18*04+G278A,IGHD4-11*01,IGHJ6*02,52,1,0,0,6,0,0,7,7,0,66,1
IGHV5-10-1*01,IGHD2-15*01,IGHJ4*02,239,0,0,5,0,0,0,5,0,0,57,1
IGHV1-2*02,IGHD1-26*01,IGHJ3*02,131,1,2,0,3,10,0,5,2,0,51,1
IGHV1-18*04,IGHD1-20*01,IGHJ1*01,94,1,0,0,10,0,0,12,8,0,58,1
IGHV3-30*03,IGHD2-2*02,IGHJ4*02,145,0,1,1,0,0,0,1,2,0,60,2
IGHV4-34*09,IGHD3-10*01,IGHJ6*03,182,1,10,5,2,0,0,7,0,0,63,1
IGHV1-18*04,IGHD2-2*03,IGHJ4*02,180,0,0,3,3,0,0,5,9,0,67,1
IGHV4-34*01,IGHD2/OR15-2a*01,IGHJ5*02,132,1,0,0,8,0,0,4,0,0,57,2
IGHV4-59*08,IGHD5-12*01,IGHJ3*02,115,0,0,4,6,0,0,9,0,0,52,1
IGHV4-61*02,IGHD3-16*02,IGHJ6*02,0,1,14,7,14,0,0,4,3,0,51,2
IGHV1-69*04,IGHD3-16*02,IGHJ5*02,81,2,0,8,6,0,0,1,7,0,60,1
IGHV3-21*01,IGHD3-16*02,IGHJ6*04,90,0,0,3,9,0,0,7,0,0,75,1
IGHV4-61*02,IGHD3-16*01,IGHJ3*02,64,1,3,0,0,0,0,1,5,0,69,1
IGHV3-7*03,IGHD3-3*02,IGHJ4*02,63,0,10,9,4,0,0,7,4,0,47,1
IGHV4-59*10,IGHD5/OR15-5a*01,IGHJ4*02,131,2,0,0,0,0,0,4,13,0,66,1
IGHV3-43*02,IGHD3/OR15-3a*01,IGHJ6*02,225,2,0,0,8,0,0,0,0,0,66,1
IGHV1-69*04,IGHD3-16*02,IGHJ5*02,73,5,10,0,2,0,0,2,0,0,53,1
IGHV1-2*02,IGHD4-23*01,IGHJ4*02,64,4,2,0,5,0,0,6,3,0,45,2
IGHV4-34*09,IGHD3-16*02,IGHJ6*02,256,1,0,8,4,0,0,0,0,0,67,1
IGHV5-51*01,IGHD2-21*02,IGHJ4*02,162,1,0,11,3,0,0,1,0,0,42,1
IGHV4-59*08,IGHD6-19*01,IGHJ5*02,186,0,2,0,2,0,0,18,0,0,66,1
IGHV5-10-1*01,IGHD2-15*01,IGHJ4*02,104,0,0,3,2,0,0,5,0,0,57,1
IGHV1-2*02,IGHD4-23*01,IGHJ4*02,95,4,2,0,5,0,0,6,3,0,45,1
IGHV3-7*03,IGHD4-17*01,IGHJ4*02,58,1,0,7,16,0,0,20,0,0,40,1
IGHV4-59*08,IGHD2-2*01,IGHJ3*02,44,0,3,14,14,0,0,30,0,0,60,1
IGHV4-59*08,IGHD3-10*01,IGHJ4*02,187,1,0,0,0,0,0,3,1,0,62,1
IGHV4-39*01+G281C,IGHD1-26*01,IGHJ3*01,220,3,5,0,6,0,0,1,6,0,43,1
IGHV3-43*02,IGHD3-3*01,IGHJ6*02,153,2,1,7,1,0,0,1,0,0,66,1
IGHV4-39*01,IGHD3-10*01,IGHJ4*02,32,0,4,5,0,0,0,9,4,0,63,1
IGHV1-18*04,IGHD1-20*01,IGHJ1*01,76,0,0,1,1,0,0,10,0,0,57,1
IGHV3-21*01,IGHD3-16*02,IGHJ6*04,80,0,0,7,5,0,0,7,0,0,75,3
IGHV1-3*01,IGHD1-1*01,IGHJ6*02,241,2,3,0,4,0,0,24,0,0,75,1
IGHV4-59*08,IGHD6-19*01,IGHJ4*02,81,1,5,0,2,0,0,9,1,0,51,2
IGHV4-61*02,IGHD3-9*01,IGHJ5*02,187,0,1,10,6,0,0,1,11,0,57,1
IGHV3-30*03,IGHD3-10*01,IGHJ6*02,113,0,10,4,4,0,0,15,1,0,72,1
IGHV3-21*01,IGHD3-16*02,IGHJ6*04,75,0,0,3,9,0,0,7,0,0,75,4
IGHV4-59*08,IGHD3-10*02,IGHJ4*02,52,0,6,9,13,0,0,26,1,0,57,1
IGHV1-18*04,IGHD2-2*03,IGHJ4*02,64,0,0,2,3,0,0,5,7,0,66,3
IGHV1-18*04,IGHD3-10*01,IGHJ5*02,33,0,10,5,2,0,0,5,1,0,51,1
IGHV4-59*08,IGHD3-16*02,IGHJ6*03,65,2,16,3,8,0,0,0,0,0,51,2
IGHV1-2*02,IGHD3-16*02,IGHJ6*02,51,1,0,18,12,0,0,4,0,0,53,1
IGHV5-10-1*01,IGHD2-15*01,IGHJ4*02,75,0,0,3,2,0,0,5,0,0,57,5
IGHV3-30*03,IGHD2-2*02,IGHJ4*02,85,0,1,1,0,0,0,1,2,0,60,3
IGHV3-NL1*01,IGHD5-18*01,IGHJ4*02,234,0,2,0,8,0,0,9,7,0,54,1
IGHV4-59*08,IGHD3-16*01,IGHJ4*02,116,0,3,0,8,0,0,0,6,0,60,1
IGHV1-69*04,IGHD3-22*01,IGHJ3*02,140,0,0,5,0,0,0,3,10,0,69,1
IGHV3-30*03,IGHD6-19*01,IGHJ4*02,172,1,0,0,2,0,0,20,13,0,79,1
IGHV4-59*08,IGHD3-9*01,IGHJ5*02,205,0,1,10,6,0,0,1,11,0,57,1
IGHV3-30*03,IGHD5-12*01,IGHJ6*02,133,0,0,1,1,0,0,5,0,0,69,1
IGHV3-66*01,IGHD5-18*01,IGHJ4*02,254,0,2,4,3,0,0,3,6,0,48,1
IGHV3-43*02,IGHD3-22*01,IGHJ6*02,247,3,0,5,6,0,0,10,0,0,72,1
IGHV1-69*04,IGHD3-22*01,IGHJ5*02,61,0,1,5,6,0,0,7,0,0,57,1
IGHV1-2*02,IGHD2-21*01,IGHJ4*02,49,2,1,9,7,0,0,2,0,0,39,2
IGHV1-69*04,IGHD2-2*01,IGHJ3*02,16,4,1,8,13,0,0,20,9,0,64,1
IGHV1-46*01,IGHD2-21*02,IGHJ6*02,90,1,0,7,6,0,0,22,14,0,93,1
IGHV3-30*03,IGHD6-13*01,IGHJ6*03,146,0,0,1,3,0,0,3,0,0,63,1
IGHV3-48*03,IGHD1-1*01,IGHJ6*02,47,0,3,10,4,0,0,23,0,0,66,1
IGHV4-59*08,IGHD3-3*01,IGHJ2*01,23,2,0,22,15,0,0,32,0,0,57,1
IGHV4-61*02,IGHD3/OR15-3a*01,IGHJ4*02,112,0,1,16,3,0,0,0,0,0,39,1
IGHV4-59*08,IGHD3/OR15-3a*01,IGHJ3*01,46,4,0,19,11,0,0,31,1,0,59,2
IGHV4-31*03,IGHD2-2*01,IGHJ3*02,246,1,9,3,4,0,0,7,12,0,63,1
IGHV3-49*04,IGHD1-7*01,IGHJ2*01,166,3,0,6,7,0,0,26,0,0,60,1
IGHV4-59*08,IGHD3-9*01,IGHJ3*01,11,0,1,0,7,0,0,1,3,0,57,1
IGHV1-18*04+G278A,IGHD4-11*01,IGHJ6*02,127,1,0,0,6,0,0,7,7,0,66,1
IGHV1-2*02,IGHD2-21*01,IGHJ4*02,166,2,1,9,7,0,0,2,0,0,39,1
IGHV4-59*08,IGHD2-2*01,IGHJ4*01,44,1,7,2,1,0,0,1,4,0,53,1
IGHV3-21*01,IGHD3-16*02,IGHJ6*04,144,0,0,3,9,0,0,7,0,0,75,2
IGHV4-31*03,IGHD2-8*01,IGHJ6*03,73,3,1,0,0,0,0,0,14,0,84,1
IGHV1-69*04+G278T,IGHD4-17*01,IGHJ4*02,179,0,1,2,8,0,0,12,6,0,51,1
IGHV1-2*02,IGHD2-8*01,IGHJ6*02,48,1,0,13,12,0,0,5,0,0,53,2
IGHV3-20*01,IGHD4-17*01,IGHJ2*01,55,1,2,11,4,0,0,26,0,0,57,1
IGHV1-69*04+G278T,IGHD5-12*01,IGHJ4*02,75,0,0,1,1,0,0,1,1,0,51,1
IGHV3-21*01,IGHD3-16*02,IGHJ6*04,214,0,0,7,5,0,0,7,0,0,75,1
IGHV3-66*01,IGHD1-26*01,IGHJ6*03,189,0,2,0,2,0,0,3,7,0,69,1
IGHV4-59*08,IGHD6-6*01,IGHJ4*02,81,2,0,2,0,0,0,2,7,0,51,1
IGHV3-64*04,IGHD5-18*01,IGHJ4*02,232,0,2,0,8,0,0,9,7,0,54,1
IGHV3-30*03,IGHD2-8*01,IGHJ4*02,166,0,3,6,7,0,0,0,2,0,45,1
IGHV4-59*08,IGHD3-22*01,IGHJ4*02,0,0,10,0,5,0,0,4,0,0,48,1
IGHV4-59*08,IGHD3-16*02,IGHJ3*02,32,0,0,18,16,0,0,27,0,0,60,1
IGHV5-51*01,IGHD4-17*01,IGHJ4*02,0,1,1,1,13,0,0,14,0,0,42,1
IGHV4-61*01,IGHD5-24*01,IGHJ6*02,197,1,0,4,1,0,0,6,0,0,63,3
IGHV3-64*04,IGHD3-22*01,IGHJ4*02,68,1,0,0,11,0,0,10,3,0,60,1
IGHV3-7*03,IGHD4-17*01,IGHJ4*02,30,1,0,7,13,0,0,12,4,0,39,1
IGHV3-NL1*01,IGHD3/OR15-3a*01,IGHJ6*02,231,0,9,9,9,0,0,14,0,0,61,2
IGHV4-59*08,IGHD3-22*01,IGHJ3*02,191,0,10,5,6,0,0,10,1,0,51,2
IGHV4-34*01,IGHD4-17*01,IGHJ4*02,132,0,0,0,1,0,0,6,5,0,54,1
IGHV4-59*08,IGHD6-6*01,IGHJ4*02,58,2,0,2,0,0,0,2,7,0,51,3
IGHV4-4*07,IGHD4-23*01,IGHJ4*01,205,1,2,14,6,0,0,20,0,0,44,1
IGHV4-61*02,IGHD3-22*01,IGHJ4*02,211,0,1,0,13,0,0,4,2,0,51,1
IGHV3-7*03,IGHD1-1*01,IGHJ4*03,207,1,3,10,13,0,0,21,0,0,39,1
IGHV1-69*04,IGHD1-1*01,IGHJ5*02,159,4,0,10,13,0,0,22,0,0,43,1
IGHV1-2*02,IGHD6-6*01,IGHJ4*02,38,1,2,0,6,0,0,1,1,0,39,1
IGHV1-46*01,IGHD6-19*01,IGHJ4*02,133,0,3,3,5,0,0,13,0,0,51,1
IGHV3-7*03,IGHD2-8*01,IGHJ4*02,139,2,0,13,17,0,0,0,0,0,27,1
IGHV4-59*08,IGHD3-10*01,IGHJ3*01,27,0,0,21,12,0,0,30,2,0,60,1
IGHV4-59*08,IGHD4-17*01,IGHJ4*02,72,0,1,0,5,0,0,7,9,0,54,1
IGHV4-59*08,IGHD6-19*01,IGHJ4*02,11,0,7,0,5,0,0,5,0,0,42,1
IGHV3-66*01,IGHD3-16*02,IGHJ6*03,258,0,0,3,21,0,0,7,11,1,74,1
IGHV4-39*01,IGHD3-10*01,IGHJ4*02,254,0,4,5,0,0,0,9,4,0,63,1
IGHV4-4*02,IGHD3-16*01,IGHJ6*03,141,1,13,0,12,0,0,0,0,0,54,1
IGHV3-49*04,IGHD1-7*01,IGHJ2*01,224,1,0,0,13,0,0,24,0,0,60,2
IGHV3-30*03,IGHD3-3*01,IGHJ6*03,180,0,7,9,9,0,0,8,0,0,57,3
IGHV3-30*03,IGHD5-18*01,IGHJ4*02,186,0,2,0,8,0,0,9,7,0,54,3
IGHV3-48*01,IGHD3-3*01,IGHJ2*01,147,0,0,0,4,0,0,15,0,0,75,1
IGHV3-30*03,IGHD6-13*01,IGHJ6*02,41,0,2,1,1,0,0,12,0,0,72,1
IGHV4-39*01,IGHD3-3*01,IGHJ4*02,199,1,0,0,8,0,0,4,14,0,68,1
IGHV4-34*01,IGHD6-25*01,IGHJ6*02,36,1,0,3,7,0,0,2,12,0,64,1
IGHV1-18*04,IGHD1-20*01,IGHJ1*01,23,0,0,0,1,0,0,11,0,0,59,1
IGHV4-59*08,IGHD6-19*01,IGHJ5*02,36,0,0,0,6,0,0,16,4,0,66,1
IGHV3-49*04,IGHD1-7*01,IGHJ2*01,81,1,0,0,13,0,0,24,0,0,60,2
IGHV3-NL1*01,IGHD5-18*01,IGHJ4*02,192,0,3,0,8,0,0,10,7,0,54,3
IGHV4-31*03,IGHD3-3*01,IGHJ6*02,83,1,7,9,8,0,0,8,0,0,57,1
IGHV3-30*03,IGHD3-22*01,IGHJ3*02,112,3,3,7,3,0,0,9,0,0,54,1
IGHV3-30*03,IGHD6-13*01,IGHJ6*02,142,0,0,0,0,0,0,1,7,0,72,1
IGHV3-30*03,IGHD3-10*01,IGHJ4*02,247,1,0,0,0,0,0,0,14,0,72,1
IGHV4-61*01,IGHD5-24*01,IGHJ6*02,98,1,1,4,1,0,0,7,0,0,63,2
IGHV3-30*03,IGHD3-9*01,IGHJ6*02,135,0,1,10,8,0,0,5,0,0,60,2
IGHV4-34*01,IGHD1-26*01,IGHJ3*02,3,8,2,0,3,0,0,10,5,0,52,1
IGHV3-30*03,IGHD1-26*01,IGHJ4*02,133,0,5,1,8,0,0,1,13,0,48,1
IGHV4-34*01,IGHD6-13*01,IGHJ5*02,205,1,0,6,8,0,0,8,13,0,58,1
IGHV3-20*01,IGHD6-13*01,IGHJ6*03,231,1,0,1,10,0,0,10,22,0,84,1
IGHV1-18*04,IGHD2-15*01,IGHJ3*02,213,1,3,10,8,0,0,0,0,0,39,1
IGHV1-18*04,IGHD1-20*01,IGHJ1*01,109,0,0,0,10,0,0,10,8,0,57,1
IGHV3-66*03,IGHD3-22*01,IGHJ6*02,133,0,6,0,8,0,0,6,0,0,66,2
IGHV3-15*01,IGHD3-22*01,IGHJ5*02,170,0,7,6,2,0,0,13,0,0,60,1
IGHV3-66*03,IGHD1-7*01,IGHJ5*02,150,0,4,0,17,0,0,11,3,0,41,1
IGHV4-34*01,IGHD1-26*01,IGHJ3*01,259,8,2,0,1,0,0,10,2,0,51,1
IGHV4-59*08,IGHD3-22*01,IGHJ4*02,67,2,3,0,2,0,0,5,0,0,57,2
IGHV3-7*03,IGHD1-1*01,IGHJ4*02,34,1,3,10,13,0,0,21,0,0,39,4
IGHV3-30*03,IGHD5-18*01,IGHJ4*02,122,0,3,0,8,0,0,10,7,0,54,1
IGHV1-18*04+G278A,IGHD4-11*01,IGHJ6*02,90,1,0,0,4,0,0,7,5,0,66,2
IGHV4-61*02,IGHD3-16*02,IGHJ6*02,64,1,14,7,14,0,0,4,3,0,51,1
IGHV1-2*02,IGHD2-2*02,IGHJ6*02,94,1,1,12,13,0,0,1,0,0,48,1
IGHV4-59*08,IGHD3-10*01,IGHJ4*02,16,1,0,0,0,0,0,3,2,0,63,1
IGHV1-2*02,IGHD1-26*01,IGHJ3*02,118,1,2,0,3,0,0,5,2,0,51,2
IGHV4-61*01,IGHD5-24*01,IGHJ6*02,91,1,1,4,1,0,0,7,0,0,63,2
IGHV1-2*02,IGHD4-23*01,IGHJ4*02,0,4,2,0,5,0,0,6,3,0,45,5
IGHV3-30*03,IGHD5-18*01,IGHJ4*02,142,0,0,10,6,0,0,20,2,0,54,1
IGHV4-61*02,IGHD3-16*02,IGHJ6*02,36,1,14,7,14,0,0,4,3,0,51,1
IGHV1-69*04+G278T,IGHD5-12*01,IGHJ4*02,77,0,0,1,1,0,0,1,1,0,51,5
IGHV1-69*04+G278T,IGHD3/OR15-3a*01,IGHJ5*02,161,4,1,9,27,0,0,17,5,0,43,1
IGHV1-18*04,IGHD2-15*01,IGHJ5*02,100,1,1,1,0,0,0,2,2,0,63,4
IGHV3-30*03,IGHD3-22*01,IGHJ4*02,44,1,10,5,3,0,0,2,0,0,42,1
IGHV1-46*01,IGHD3-10*01,IGHJ6*02,168,0,0,11,8,0,0,2,0,0,57,1
IGHV3-30*03,IGHD5-18*01,IGHJ4*02,179,0,2,0,8,0,0,9,7,0,54,2
IGHV4-30-2*05,IGHD3-10*01,IGHJ4*01,277,1,6,5,7,0,0,0,0,0,40,1
IGHV4-61*01,IGHD3-22*01,IGHJ4*02,132,1,3,0,2,0,0,4,0,0,57,1
IGHV3-30*03,IGHD3-16*02,IGHJ6*02,223,0,1,8,2,0,0,3,0,0,72,1
IGHV3-30*03,IGHD6-19*01,IGHJ4*02,78,0,0,0,2,0,0,18,13,0,78,1
IGHV4-61*02,IGHD2-2*01,IGHJ5*02,249,0,0,1,2,0,0,0,7,0,66,1
IGHV4-39*01,IGHD3-10*01,IGHJ6*03,70,0,4,4,15,0,0,9,3,0,63,1
IGHV4-61*01,IGHD4-17*01,IGHJ4*02,240,1,2,0,15,0,0,24,1,0,51,2
IGHV3-48*03,IGHD3-22*01,IGHJ6*02,242,0,0,8,4,0,0,11,0,0,73,1
IGHV4-39*01,IGHD3-10*01,IGHJ6*03,248,0,4,4,15,0,0,9,3,0,63,1
IGHV4-39*01,IGHD3-10*01,IGHJ6*03,69,0,4,4,12,0,0,9,0,0,63,2
IGHV3-7*03,IGHD6-19*01,IGHJ6*03,105,3,0,1,12,0,0,9,3,0,60,1
IGHV4-61*02,IGHD3-16*01,IGHJ3*02,1,1,3,0,0,0,0,1,5,0,69,1
IGHV4-59*08,IGHD2-2*01,IGHJ3*01,234,0,13,3,1,0,0,8,8,0,60,1
IGHV4-59*08,IGHD3-16*02,IGHJ6*03,1,2,16,3,8,0,0,0,0,0,51,2
IGHV4-61*02,IGHD3-16*01,IGHJ3*02,43,1,3,0,0,0,0,1,5,0,69,1
IGHV5-10-1*01,IGHD2-15*01,IGHJ4*02,11,0,0,3,2,0,0,5,0,0,57,6
IGHV3-30*03,IGHD3-3*01,IGHJ6*03,96,1,0,6,8,0,0,4,0,0,63,2
IGHV3-7*03,IGHD3-9*01,IGHJ4*02,0,1,9,16,8,0,0,2,0,0,27,4
IGHV1-69-2*01,IGHD6-19*01,IGHJ6*02,58,1,0,0,0,0,0,4,2,0,69,1
IGHV3-7*03,IGHD2-8*01,IGHJ4*02,84,1,1,13,17,0,0,12,0,0,39,1
IGHV3-43*02,IGHD3-16*02,IGHJ6*02,172,1,4,5,15,0,0,8,1,0,66,1
IGHV4-30-2*05,IGHD1-26*01,IGHJ4*02,233,1,2,2,0,0,0,12,3,0,58,1
IGHV1-2*02,IGHD4-23*01,IGHJ4*02,105,4,2,0,5,0,0,6,4,0,46,1
IGHV3-21*01,IGHD3-3*01,IGHJ6*03,240,2,0,10,0,0,0,58,10,0,130,1
