v_gene,d_gene,j_gene,v_5p_del,v_3p_del,d_5p_del,d_3p_del,j_5p_del,j_3p_del,fv_insertion,vd_insertion,dj_insertion,jf_insertion,cdr3_length,count
IGHV3-74*01,IGHD3-10*02,IGHJ5*01,192,1,2,26,14,0,0,33,0,31,51,1
IGHV1-18*04+G278A,IGHD2-2*03,IGHJ4*02,133,0,7,2,3,0,0,12,7,116,66,2
IGHV3-66*03,IGHD3-22*01,IGHJ6*02,164,0,6,4,4,0,1,6,0,117,66,1
IGHV4-61*01,IGHD2-15*01,IGHJ3*02,102,3,0,2,3,0,0,6,1,30,60,1
IGHV4-31*03,IGHD6-13*01,IGHJ6*02,197,0,3,0,0,0,0,6,17,117,84,2
IGHV3-30*03,IGHD3-16*02,IGHJ6*03,6,0,1,26,24,0,0,21,0,31,50,1
IGHV4-59*08,IGHD3-16*02,IGHJ6*04,0,1,3,23,27,0,0,25,0,30,51,1
IGHV4-59*08,IGHD6-13*01,IGHJ5*01,42,14,8,9,7,12,0,0,0,0,14,1
IGHV3-30*03,IGHD3-3*01,IGHJ6*03,64,1,0,3,11,0,0,4,0,31,63,1
IGHV4-59*08,IGHD3-16*02,IGHJ6*03,36,2,16,7,4,0,0,0,0,31,51,1
IGHV1-2*02,IGHD6-19*01,IGHJ4*02,11,0,0,2,3,0,0,4,0,30,48,1
IGHV1-18*04,IGHD1-20*01,IGHJ1*01,13,0,0,0,11,0,0,10,9,30,57,1
IGHV4-34*01,IGHD3-16*02,IGHJ3*02,151,0,1,11,0,0,0,4,16,30,75,1
IGHV4-34*01,IGHD6-6*01,IGHJ6*02,52,1,0,1,7,0,0,2,9,31,63,1
IGHV3-30*03,IGHD3-10*02,IGHJ4*02,142,0,2,19,18,0,0,23,0,115,42,1
IGHV4-31*03,IGHD1-26*01,IGHJ4*02,85,2,6,3,11,0,0,10,0,30,36,1
IGHV1-18*04,IGHD2-15*01,IGHJ6*03,90,1,8,7,7,0,0,0,0,31,51,1
IGHV3-7*03,IGHD2-8*01,IGHJ4*02,53,0,3,15,15,0,0,31,0,30,57,1
IGHV3-72*01,IGHD1-7*01,IGHJ2*01,259,1,0,6,7,0,0,24,0,30,60,1
IGHV3-7*03,IGHD3-3*01,IGHJ5*02,55,0,11,10,15,0,0,7,0,30,33,1
IGHV3-20*01,IGHD3-16*01,IGHJ6*03,53,1,0,8,7,0,0,11,0,31,75,1
IGHV4-39*01,IGHD3-10*01,IGHJ6*03,27,0,4,4,15,0,0,9,3,31,63,1
IGHV4-34*01,IGHD1-26*01,IGHJ3*02,74,8,2,0,1,0,0,10,2,29,51,1
IGHV5-10-1*01,IGHD3-16*01,IGHJ4*02,171,0,0,6,6,0,0,6,0,30,57,1
IGHV1-2*02,IGHD2-21*01,IGHJ4*02,11,2,1,9,7,0,0,2,0,14,39,1
IGHV3-30*03,IGHD6-13*01,IGHJ5*01,88,0,0,5,3,0,0,4,0,30,48,1
IGHV4-61*01,IGHD2-2*01,IGHJ4*02,135,1,8,5,6,0,0,5,0,30,44,1
IGHV3-7*03,IGHD1-1*01,IGHJ4*02,41,1,3,10,13,0,0,21,0,30,39,1
IGHV1-69*04+G278T,IGHD3-10*02,IGHJ4*02,26,0,2,9,9,0,0,13,0,30,51,3
IGHV3-30*03,IGHD3-22*01,IGHJ3*02,66,3,4,7,3,0,0,10,0,30,54,1
IGHV1-69*04+G278T,IGHD3-10*02,IGHJ4*02,257,0,0,15,22,0,0,30,0,30,51,1
IGHV3-7*03,IGHD3-9*01,IGHJ4*02,63,1,9,16,8,0,0,2,0,30,27,1
IGHV1-69*04+G278T,IGHD5-12*01,IGHJ5*02,8,2,0,1,15,0,0,4,13,23,53,1
IGHV1-69*04+G278T,IGHD2-2*01,IGHJ4*02,45,1,6,1,0,0,0,0,12,30,63,1
IGHV3-48*03,IGHD2/OR15-2a*01,IGHJ3*02,84,2,0,3,4,0,0,8,0,30,60,1
IGHV3-23*04,IGHD3-10*02,IGHJ4*02,94,0,2,22,15,0,0,31,0,30,50,1
IGHV1-18*04,IGHD3-10*01,IGHJ5*02,33,0,6,3,3,0,0,1,0,24,51,1
IGHV4-59*08,IGHD2-8*01,IGHJ4*02,55,0,1,13,17,0,0,28,0,30,56,1
IGHV3-66*01,IGHD3-22*01,IGHJ4*02,198,1,10,5,3,0,0,2,0,30,42,4
IGHV3-30*03,IGHD3-3*01,IGHJ6*03,81,0,4,14,9,0,0,4,0,31,51,1
IGHV3-23*04,IGHD2-2*03,IGHJ4*02,142,0,0,2,1,0,0,5,5,30,66,1
IGHV4-59*08,IGHD6-19*01,IGHJ4*02,0,0,0,1,1,0,5,6,0,30,53,2
IGHV1-69*04+G278T,IGHD3-10*01,IGHJ5*02,191,0,0,13,27,0,0,30,0,30,52,1
IGHV4-61*01,IGHD2-15*01,IGHJ4*02,140,2,1,7,7,0,0,12,0,30,54,1
IGHV1-69*04+G278T,IGHD2-15*01,IGHJ6*02,202,0,0,22,24,0,0,35,0,117,63,1
IGHV3-66*01,IGHD5-18*01,IGHJ3*02,64,1,0,4,2,0,0,6,3,30,52,1
IGHV3-49*04,IGHD3-3*01,IGHJ2*01,236,1,0,22,15,0,0,34,0,30,60,3
IGHV4-59*08,IGHD5-24*01,IGHJ6*02,0,2,1,2,11,0,0,8,7,31,62,3
IGHV1-2*02,IGHD3-16*01,IGHJ3*02,68,0,3,21,13,0,0,6,0,116,36,4
IGHV3-23*04,IGHD3-16*01,IGHJ4*02,58,2,6,6,5,0,0,8,0,30,54,1
IGHV1-2*02,IGHD4-23*01,IGHJ5*02,18,4,2,3,2,0,0,6,0,30,45,1
IGHV1-69*04+G278T,IGHD2-2*01,IGHJ4*02,102,1,13,1,0,0,0,7,12,30,63,1
IGHV1-2*02,IGHD3-16*02,IGHJ3*02,192,0,3,18,16,0,0,6,0,116,36,1
IGHV3-30*03,IGHD2-2*02,IGHJ4*02,0,0,1,1,0,0,7,1,2,30,60,1
IGHV3-30*03,IGHD2-15*01,IGHJ3*01,67,1,12,1,13,0,0,7,1,28,42,2
IGHV1-2*02,IGHD5-12*01,IGHJ4*02,48,4,1,14,15,0,0,27,0,30,44,1
IGHV1-69*04+G278T,IGHD5-12*01,IGHJ5*02,7,0,0,1,12,0,0,2,11,30,54,1
IGHV4-31*03,IGHD1-20*01,IGHJ4*02,180,1,1,3,8,0,0,3,1,30,36,1
IGHV3-7*03,IGHD2-8*01,IGHJ4*02,80,1,1,13,17,0,0,12,0,29,39,1
IGHV4-31*03,IGHD3-3*01,IGHJ6*02,0,2,7,9,8,0,3,8,0,31,56,1
IGHV4-59*08,IGHD6-19*01,IGHJ5*02,193,0,3,0,6,0,0,19,4,29,66,1
IGHV3-21*01,IGHD3-3*01,IGHJ6*03,172,1,1,6,8,0,0,8,0,31,66,1
IGHV3-30*03,IGHD6-13*01,IGHJ6*03,103,0,0,1,6,0,0,3,3,31,63,1
IGHV3-30*03,IGHD3-10*02,IGHJ4*02,54,1,0,0,0,0,0,0,14,30,71,1
IGHV3-43*02,IGHD3/OR15-3a*01,IGHJ6*02,90,2,2,4,4,0,0,2,0,31,66,1
IGHV4-34*01,IGHD3-3*01,IGHJ6*03,162,0,5,3,2,0,0,21,0,31,85,1
IGHV4-59*08,IGHD3-22*01,IGHJ3*02,27,0,19,0,4,0,0,9,1,42,48,1
IGHV4-59*08,IGHD5-24*01,IGHJ6*02,26,3,0,0,14,0,0,8,12,31,66,1
IGHV3-66*01,IGHD3-3*01,IGHJ2*01,244,0,0,1,4,0,0,15,0,116,74,1
IGHV3-30*03,IGHD5-24*01,IGHJ4*02,142,2,1,5,6,0,0,11,0,116,45,3
IGHV4-39*01+G281C,IGHD5-12*01,IGHJ5*02,142,1,1,11,6,0,0,0,0,30,35,1
IGHV1-69*04,IGHD2-2*02,IGHJ4*02,39,3,3,0,4,0,0,6,5,30,60,1
IGHV4-59*08,IGHD3-3*02,IGHJ5*02,34,2,5,12,5,0,0,15,1,30,54,1
IGHV3-30*03,IGHD5-18*01,IGHJ4*02,112,0,2,0,8,0,0,9,7,116,54,1
IGHV3-7*03,IGHD2-8*01,IGHJ4*02,99,1,1,13,17,0,0,12,0,25,39,1
IGHV1-2*02,IGHD1-26*01,IGHJ3*02,114,1,2,0,3,0,0,5,2,30,51,1
IGHV5-10-1*01,IGHD3-16*01,IGHJ4*02,59,0,0,7,5,0,0,6,0,30,57,1
IGHV1-2*02,IGHD1-26*01,IGHJ3*02,12,1,2,0,5,0,0,5,5,30,52,1
IGHV3-66*01,IGHD1-26*01,IGHJ6*03,211,0,3,0,4,0,0,4,9,31,69,1
IGHV3-49*04,IGHD3-10*01,IGHJ4*02,271,5,6,12,4,0,0,5,8,115,45,1
IGHV4-59*08,IGHD4-23*01,IGHJ4*02,81,0,3,0,4,0,0,5,3,30,48,1
IGHV1-18*04,IGHD2-2*01,IGHJ4*02,90,0,8,2,3,0,0,13,7,30,66,1
IGHV3-7*03,IGHD3-22*01,IGHJ4*02,133,2,6,9,9,0,0,8,7,30,48,1
IGHV3-7*03,IGHD2-8*01,IGHJ4*02,39,2,0,14,16,0,0,0,0,30,27,2
IGHV3-30*03,IGHD3-10*01,IGHJ4*02,193,0,0,15,23,0,0,33,0,105,54,2
IGHV3-43*02,IGHD1-26*01,IGHJ6*02,161,3,0,2,2,0,0,0,5,31,63,1
IGHV4-59*08,IGHD3-22*01,IGHJ3*02,46,0,0,18,13,0,0,30,0,30,60,1
IGHV4-61*01,IGHD5-24*01,IGHJ6*02,152,1,0,4,1,0,0,6,0,31,63,1
IGHV1-2*02,IGHD1-26*01,IGHJ3*02,11,4,2,0,3,0,0,8,2,30,51,1
IGHV3-7*03,IGHD3-9*01,IGHJ4*02,139,1,9,16,8,0,0,2,0,30,27,1
IGHV4-59*08,IGHD3-16*02,IGHJ1*01,222,0,7,5,5,0,0,2,0,30,54,1
IGHV1-2*02,IGHD3-22*01,IGHJ4*02,87,0,1,6,7,0,0,9,0,30,54,1
IGHV1-69*04+G278T,IGHD6-13*01,IGHJ4*02,33,1,4,0,10,0,0,5,3,30,42,1
IGHV3-43*02,IGHD3/OR15-3a*01,IGHJ6*02,75,2,0,10,1,0,0,0,3,31,66,1
IGHV3-66*01,IGHD1-1*01,IGHJ6*03,6,2,4,0,7,0,0,2,8,0,57,1
IGHV1-2*02,IGHD2-2*02,IGHJ5*02,78,2,0,1,1,0,0,8,0,30,66,1
IGHV5-10-1*01,IGHD3-22*01,IGHJ3*02,104,0,1,1,0,0,0,6,0,110,63,1
IGHV3-30*03,IGHD3-10*02,IGHJ4*02,145,2,2,18,19,0,0,28,0,106,45,1
IGHV4-31*03,IGHD1-20*01,IGHJ4*01,201,1,1,3,8,0,0,3,1,30,36,1
IGHV4-39*01+G281C,IGHD3-16*02,IGHJ6*02,182,3,11,25,25,0,0,31,0,105,47,1
IGHV4-34*01,IGHD4-17*01,IGHJ4*02,0,0,0,0,4,0,6,6,8,30,54,1
IGHV3-15*01,IGHD3-3*02,IGHJ4*02,94,1,2,21,11,0,0,15,0,30,39,1
IGHV4-59*08,IGHD5-24*01,IGHJ6*02,0,2,0,2,11,0,0,7,9,31,64,1
IGHV3-30*03,IGHD5-18*01,IGHJ4*02,143,0,2,0,8,0,0,9,7,116,54,2
IGHV3-30*03,IGHD3-10*01,IGHJ4*02,171,1,0,0,0,0,0,0,14,30,72,1
IGHV4-34*01,IGHD5/OR15-5a*01,IGHJ5*02,58,1,6,1,8,0,0,5,14,30,57,1
IGHV4-59*08,IGHD4-23*01,IGHJ4*02,1,0,3,0,5,0,0,5,4,30,48,1
IGHV3-43*02,IGHD3/OR15-3a*01,IGHJ6*02,96,2,0,10,1,0,0,0,3,31,66,1
IGHV1-18*04,IGHD2-2*01,IGHJ4*02,123,0,8,2,3,0,0,13,7,26,66,1
IGHV4-31*03,IGHD2/OR15-2a*01,IGHJ6*03,191,1,3,14,13,0,0,20,0,31,63,1
IGHV1-69*04+G278T,IGHD5-12*01,IGHJ4*02,61,0,0,1,1,0,0,1,1,30,51,1
IGHV1-69*04+G278T,IGHD3-10*02,IGHJ4*02,203,0,0,15,22,0,0,30,0,30,51,1
IGHV3-7*03,IGHD2-8*01,IGHJ4*02,21,1,1,13,17,0,0,12,0,25,39,1
IGHV3-30*03,IGHD3-3*01,IGHJ6*03,187,0,7,8,10,0,0,8,0,117,57,1
IGHV1-18*04,IGHD2-15*01,IGHJ5*02,114,1,1,1,0,0,0,2,2,19,63,1
IGHV3-7*03,IGHD2-8*01,IGHJ4*02,119,1,1,13,17,0,0,12,0,30,39,7
IGHV3-43*02,IGHD1-26*01,IGHJ6*02,155,3,0,2,2,0,0,0,5,31,63,1
IGHV4-61*01,IGHD3-3*01,IGHJ2*01,153,1,1,22,15,0,0,32,0,30,57,1
IGHV3-7*03,IGHD1-1*01,IGHJ4*02,0,1,3,10,13,0,2,21,0,30,39,1
IGHV3-30*03,IGHD4-17*01,IGHJ4*02,122,2,0,12,11,0,0,26,0,116,45,1
IGHV4-31*03,IGHD2-15*01,IGHJ6*02,0,1,1,11,12,0,0,7,0,31,56,3
IGHV4-30-2*05,IGHD2-2*03,IGHJ5*02,184,0,1,5,3,0,0,7,0,30,60,1
IGHV4-39*01+G281C,IGHD3-10*01,IGHJ6*03,0,0,4,4,15,0,0,9,3,31,63,1
IGHV4-59*08,IGHD4-17*01,IGHJ4*02,60,2,2,7,7,0,0,25,0,30,51,1
IGHV1-69*04,IGHD3-3*01,IGHJ4*02,73,0,0,6,2,0,0,14,7,30,72,1
IGHV3-30*03,IGHD3-3*01,IGHJ6*03,0,0,4,14,9,0,5,4,0,31,51,1
IGHV3-30*03,IGHD3-16*02,IGHJ6*03,63,0,1,26,24,0,0,22,0,31,51,2
IGHV3-30*03,IGHD3-22*01,IGHJ4*02,125,0,10,0,0,0,0,4,7,30,60,1
IGHV3-48*01,IGHD3-3*01,IGHJ2*01,147,0,0,2,2,0,0,15,0,116,75,1
IGHV3-30*03,IGHD2-2*02,IGHJ4*02,60,0,1,1,0,0,0,1,2,30,60,1
IGHV4-59*08,IGHD6-19*01,IGHJ5*02,90,0,0,1,1,0,0,16,0,30,66,1
IGHV1-69*04+G278T,IGHD3-16*01,IGHJ5*02,13,0,2,13,27,0,0,27,0,30,53,1
IGHV4-59*08,IGHD3-16*01,IGHJ6*03,53,1,6,6,21,0,0,0,0,31,46,1
IGHV1-2*02,IGHD2-21*02,IGHJ6*02,179,1,0,15,15,0,0,14,0,31,54,1
IGHV4-59*08,IGHD3-16*01,IGHJ3*01,32,0,0,20,14,0,0,27,0,30,60,1
IGHV4-59*08,IGHD3-10*01,IGHJ4*02,0,3,10,4,3,0,5,7,0,14,46,1
IGHV3-21*01,IGHD3-16*02,IGHJ3*02,85,0,9,3,1,0,0,19,2,30,75,1
IGHV1-69*04,IGHD6-13*01,IGHJ4*02,91,1,4,0,10,0,0,5,3,30,42,1
IGHV4-59*08,IGHD3-16*02,IGHJ3*01,46,0,0,25,12,0,0,30,0,24,60,1
IGHV3-30*03,IGHD3-10*01,IGHJ4*02,52,1,0,0,0,0,0,0,15,30,73,1
IGHV4-34*09,IGHD3-3*01,IGHJ5*02,182,0,6,13,9,0,0,2,0,30,36,1
IGHV3-48*03,IGHD2-8*01,IGHJ4*02,133,0,3,15,15,0,0,19,0,30,45,1
IGHV4-34*01,IGHD6-13*01,IGHJ6*03,52,1,0,3,2,0,0,4,3,31,65,1
IGHV1-2*02,IGHD2-21*01,IGHJ6*02,185,2,1,14,17,0,0,2,0,31,39,3
IGHV1-46*01,IGHD2-15*01,IGHJ4*02,64,1,2,10,7,0,0,0,0,30,39,3
IGHV1-2*02,IGHD2-21*01,IGHJ4*02,68,2,1,7,10,0,0,2,0,30,38,1
IGHV3-20*01,IGHD3-10*02,IGHJ6*03,144,1,0,7,8,0,0,27,0,31,84,1
IGHV1-18*04+G278A,IGHD4-11*01,IGHJ6*02,109,1,0,0,6,0,0,7,7,88,66,1
IGHV1-2*02,IGHD3-16*01,IGHJ3*02,136,0,3,21,13,0,0,6,0,116,36,1
IGHV3-7*03,IGHD2-8*01,IGHJ4*02,99,1,1,13,17,0,0,12,0,30,39,3
IGHV1-69*04+G278T,IGHD5-12*01,IGHJ4*02,256,0,0,1,8,0,0,1,8,30,51,1
IGHV1-24*01,IGHD2-15*01,IGHJ4*01,79,2,7,2,6,0,0,4,7,30,53,1
IGHV3-66*03,IGHD3-16*01,IGHJ3*02,194,4,8,9,4,0,0,0,0,108,42,1
IGHV1-2*02,IGHD2-21*01,IGHJ6*02,23,2,1,14,17,0,0,2,0,31,39,1
IGHV3-74*01,IGHD3-9*01,IGHJ3*02,122,3,0,14,12,0,0,10,0,30,42,1
IGHV4-39*01,IGHD3-10*01,IGHJ6*03,257,0,4,4,17,0,0,9,6,31,64,1
IGHV3-43*02,IGHD6-13*01,IGHJ6*02,158,0,1,0,0,0,0,3,1,31,69,3
IGHV1-69*04+G278T,IGHD3-10*02,IGHJ4*02,12,0,0,15,22,0,0,30,0,30,51,1
IGHV1-69*04+G278T,IGHD5-12*01,IGHJ4*02,169,0,0,1,8,0,0,1,8,15,51,1
IGHV3-15*01,IGHD3-10*02,IGHJ4*02,86,1,0,15,22,0,0,22,0,29,42,1
IGHV3-NL1*01,IGHD3-9*01,IGHJ1*01,249,0,0,10,11,0,0,3,0,115,45,1
IGHV4-34*01,IGHD1-26*01,IGHJ3*01,133,0,2,0,1,0,0,2,2,30,51,5
IGHV1-18*04+G278A,IGHD4-11*01,IGHJ6*02,71,1,0,0,6,0,0,7,7,31,66,1
IGHV4-30-2*05,IGHD3-22*01,IGHJ3*02,197,1,2,6,4,0,0,9,0,30,57,2
IGHV4-39*01+G281C,IGHD3-10*01,IGHJ6*03,148,0,0,4,12,0,0,7,0,30,65,1
IGHV1-69*04+G278T,IGHD2-2*03,IGHJ5*02,137,0,0,8,21,0,0,22,0,30,55,1
IGHV4-59*08,IGHD4-23*01,IGHJ4*02,174,0,0,0,5,0,0,2,4,30,48,1
IGHV3-30*03,IGHD5-24*01,IGHJ4*02,135,2,1,5,6,0,0,11,0,116,45,1
IGHV4-61*01,IGHD2-8*02,IGHJ5*02,130,1,5,7,7,0,0,12,0,30,54,1
IGHV3-7*03,IGHD2-8*01,IGHJ4*02,0,1,1,13,17,0,0,12,0,26,39,1
IGHV3-30*03,IGHD6-13*01,IGHJ6*03,53,0,0,1,6,0,0,3,3,31,63,5
IGHV3-7*03,IGHD2-8*01,IGHJ4*02,16,1,1,13,17,0,0,12,0,29,39,1
IGHV1-69*04+G278T,IGHD4-17*01,IGHJ4*02,160,0,0,4,4,0,0,9,0,18,45,1
IGHV4-34*01,IGHD6-13*01,IGHJ5*02,46,1,0,6,8,0,0,8,12,30,57,3
IGHV4-59*08,IGHD6-19*01,IGHJ5*02,214,0,0,1,1,0,0,16,0,30,66,1
IGHV1-2*02,IGHD2-8*01,IGHJ6*02,0,1,1,6,14,0,7,2,0,31,54,1
IGHV3-30*03,IGHD3-10*01,IGHJ4*02,170,0,0,15,23,0,0,33,0,109,54,1
IGHV4-30-2*05,IGHD1-26*01,IGHJ4*02,259,1,0,2,0,0,0,12,3,117,60,1
IGHV3-23*04,IGHD2/OR15-2a*01,IGHJ6*03,204,1,0,16,8,0,0,5,0,31,54,1
IGHV3-21*01,IGHD3-16*02,IGHJ6*04,139,0,0,7,5,0,0,7,0,30,75,1
IGHV3-23*04,IGHD2/OR15-2a*01,IGHJ6*03,154,3,0,16,8,0,0,7,0,31,54,1
IGHV3-21*01,IGHD3-16*02,IGHJ3*02,64,0,9,3,1,0,0,19,2,30,75,2
IGHV4-61*01,IGHD2-2*01,IGHJ4*02,195,1,4,10,0,0,0,1,6,116,51,1
IGHV3-15*01,IGHD2-15*01,IGHJ2*01,208,0,5,6,0,0,0,2,9,30,64,1
IGHV3-7*03,IGHD3-10*01,IGHJ4*02,149,1,1,11,26,0,0,16,0,28,36,1
IGHV4-59*08,IGHD3-16*02,IGHJ1*01,53,0,14,5,5,0,0,9,0,30,54,1
IGHV1-2*02,IGHD1-26*01,IGHJ3*02,50,1,2,0,3,0,0,5,2,30,51,5
IGHV1-2*02,IGHD6-19*01,IGHJ4*02,172,0,2,0,8,0,0,1,8,30,48,1
IGHV3-43*02,IGHD6-13*01,IGHJ6*02,164,0,1,0,4,0,0,3,5,31,69,2
IGHV3-72*01,IGHD2-8*01,IGHJ4*02,230,4,1,13,17,0,0,12,0,30,36,2
IGHV1-69*04,IGHD2-2*02,IGHJ4*02,0,3,3,0,0,0,0,6,1,30,60,1
IGHV3-7*03,IGHD2-8*01,IGHJ4*02,32,1,1,13,17,0,0,12,0,30,39,1
IGHV1-69*04+G278T,IGHD4-17*01,IGHJ4*02,38,0,1,2,8,0,0,12,6,30,51,1
IGHV4-59*08,IGHD4-23*01,IGHJ4*02,4,0,2,0,5,0,0,4,4,30,48,1
IGHV4-59*08,IGHD5-24*01,IGHJ6*02,0,2,1,3,2,0,8,8,0,31,63,2
IGHV4-30-2*05,IGHD3-16*02,IGHJ4*02,137,1,0,7,4,0,0,4,12,30,69,1
IGHV1-2*02,IGHD2-8*01,IGHJ6*02,10,1,1,6,14,0,0,2,0,31,54,1
IGHV1-2*02,IGHD4-23*01,IGHJ5*02,202,4,2,3,2,0,0,6,0,15,45,1
IGHV1-69*04+G278T,IGHD3-10*02,IGHJ4*02,94,0,0,15,22,0,0,30,0,30,51,2
IGHV1-18*04,IGHD1-20*01,IGHJ1*01,199,0,0,1,1,0,0,10,0,30,57,3
IGHV1-18*04,IGHD3-10*01,IGHJ3*02,74,0,3,8,8,0,0,9,0,116,51,1
IGHV5-10-1*01,IGHD2-15*01,IGHJ4*02,16,0,1,1,1,0,0,3,0,30,57,1
IGHV4-59*08,IGHD1-14*01,IGHJ4*02,126,0,2,2,5,0,0,8,4,30,48,1
IGHV4-39*01,IGHD6-19*01,IGHJ5*02,44,0,4,0,2,0,0,8,9,30,63,1
IGHV1-2*02,IGHD1-26*01,IGHJ3*02,113,1,2,0,3,0,0,5,2,30,51,3
IGHV4-59*08,IGHD6-19*01,IGHJ5*02,84,0,0,0,6,0,0,16,4,30,66,1
IGHV4-59*08,IGHD2-2*01,IGHJ3*02,123,0,3,14,14,0,0,30,0,30,60,1
IGHV3-30*03,IGHD3-9*01,IGHJ6*02,164,0,1,10,8,0,0,5,0,118,60,1
IGHV1-69*04,IGHD3-16*02,IGHJ5*02,73,5,10,1,1,0,0,2,0,30,53,1
IGHV3-30*03,IGHD3-3*01,IGHJ6*03,132,0,4,14,9,0,0,4,0,31,51,2
IGHV1-69*04,IGHD6-19*01,IGHJ5*01,135,1,7,4,7,0,0,9,0,30,42,1
IGHV1-69*04+G278T,IGHD6-13*01,IGHJ4*02,18,0,3,1,6,0,0,3,0,30,42,1
IGHV1-2*02,IGHD3-16*01,IGHJ3*02,70,0,3,21,13,0,0,6,0,116,36,1
IGHV1-46*01,IGHD3-22*01,IGHJ6*02,42,0,10,5,12,0,0,10,0,31,57,1
IGHV4-59*08,IGHD1-14*01,IGHJ4*02,77,0,2,3,1,0,0,8,0,30,47,1
IGHV1-69*04+G278T,IGHD5-12*01,IGHJ4*02,171,0,0,1,8,7,0,1,8,0,51,1
IGHV3-66*03,IGHD3-16*01,IGHJ6*02,225,0,2,8,7,0,0,9,0,24,72,1
IGHV3-74*01,IGHD3-10*02,IGHJ4*02,13,1,2,16,21,0,0,33,0,30,51,1
